round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
63,42,5.0,uniform,0.7823463651782173,0.44522732810844273,0.6414327850460526,0.16710592691441434,0.5704468039220221,3.8851825885614053,3.8851825885614053,3.8851825885614053,0.6944746686121261,0.3333932622030833,1.3515968408647063,0.44305755191494806,6.1,,,,1.163140892982483,0.578217625617981,0.6667954325675964
64,42,5.0,uniform,0.7870721166501727,0.4391202385183391,0.5308189395947293,0.12674110862102986,0.5746017106313929,3.9182549422520045,3.9182549422520045,3.9182549422520045,0.6972966731635765,0.3326919322190847,1.3632405322191496,0.4426794478986982,6.1,,,,1.1696494817733765,0.5763866305351257,0.6651718616485596
65,42,5.0,uniform,0.7910631399715439,0.42262944437771566,0.511068462996729,0.10564833982641078,0.5732941304943641,3.950824383737599,3.950824383737599,3.950824383737599,0.6958487091106098,0.3330636421405592,1.3585868972357704,0.4424073071458975,6.1,,,,1.1640269756317139,0.5764271020889282,0.6642406582832336
66,42,5.0,uniform,0.7822538993905588,0.4375528689730018,0.5125384391854565,0.1063644180442771,0.5663336426258975,3.983251470573456,3.983251470573456,3.983251470573456,0.6929774535535205,0.33462387141181915,1.340557828740782,0.443683550998113,6.1,-3.36124467139598e-05,-0.03176119923591614,-0.0009060573647730052,1.1591088771820068,0.5787000060081482,0.6664204001426697
67,42,5.0,uniform,0.7897594556680696,0.4460815516317298,0.5030666194060275,0.10422556171905964,0.567974881592336,4.015678557409314,4.015678557409314,4.015678557409314,0.6935726447136642,0.33266260178849166,1.3502022558945235,0.44365559407717275,6.1,,,,1.159735083580017,0.5773606896400452,0.6649858355522156
68,42,5.0,uniform,0.7849129155545781,0.43074173214665434,0.4972803843865324,0.10266247142944704,0.5640992902115475,4.047835673574337,4.047835673574337,4.047835673574337,0.6979715194244052,0.33388472377733375,1.3596051442050516,0.4428504489394775,6.1,,,,1.1660499572753906,0.5792507529258728,0.6650350093841553
69,42,5.0,uniform,0.7855801686709252,0.4514448750475419,0.4901774509271708,0.10089560044240747,0.568607226622666,4.079622330665873,4.079622330665873,4.079622330665873,0.690200349128923,0.33180306461440423,1.3452195231050383,0.44342825558508325,6.1,,,,1.1605236530303955,0.5775867700576782,0.6651840209960938
70,42,5.0,uniform,0.7877726907710814,0.45072457108628616,0.49878601894044633,0.10375449721918549,0.5714077949446319,4.111408987757408,4.111408987757408,4.111408987757408,0.6899119122319867,0.3307273883095995,1.350602664281187,0.44287569502035085,6.1,,,,1.164454698562622,0.5764302611351013,0.6654676198959351
71,42,5.0,uniform,0.7794524359320385,0.4100425411626603,0.4907873686361793,0.10179732045352345,0.5570836549586938,4.143195644848944,4.143195644848944,4.143195644848944,0.6885981076929767,0.33084455184540895,1.3461156151700748,0.44302812869371805,6.2,-0.0001727784110698849,0.19282166659832,-2.3050588424666785e-05,1.1639363765716553,0.5732598304748535,0.6670523285865784
72,42,5.0,uniform,0.7829869614909151,0.43100202869039833,0.4811122429537474,0.09924930329118851,0.5706781081859703,4.174442451157659,4.174442451157659,4.174442451157659,0.688967095842528,0.33177716971484855,1.3461016067771412,0.44211643153403,6.1,,,,1.1619013547897339,0.57515949010849,0.6650678515434265
