round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno
3,17,2.0,uniform,0.44236453201970444,0.5129863895271551,0.5634765625,0.5406688524528867,0.5104322244205555,1.0348467528820038,0.692187175154686,0.6934153884649277,0.6927464306354523,0.9,0.994022011756897,0.994020938873291,0.9940221905708313
4,17,2.0,uniform,0.4689655172413793,0.5472598102544897,0.556640625,0.5371025847207641,0.5093121203598803,1.0328975915908813,0.6920636892318726,0.6934368014335632,0.6925365179777145,0.9,0.992042064666748,0.9920411705970764,0.9920423030853271
5,17,2.0,uniform,0.48275862068965525,0.558759122452225,0.5712890625,0.5412260134286467,0.5075792772474638,1.030751883983612,0.6916820406913757,0.6932050287723541,0.6924146562814713,0.9,0.990070641040802,0.9900698661804199,0.9900708198547363
1,99,2.0,uniform,0.5320197044334976,0.5828682129526501,0.4314314314314314,0.3910735708370166,0.508487583799407,1.0421332716941833,0.6950538009405136,0.6970827579498291,0.6934904158115387,1.0,0.9980059266090393,0.9980021715164185,0.9980023503303528
2,99,2.0,uniform,0.529064039408867,0.5702212309433943,0.4174174174174174,0.3602015389238572,0.5062024237162368,1.0350648760795593,0.6909121721982956,0.6923253834247589,0.6919354796409607,0.9,0.9960145354270935,0.9960076212882996,0.9960094094276428
3,99,2.0,uniform,0.5339901477832512,0.5887511292690759,0.43143143143143137,0.37458108762406617,0.5117585724910637,1.033037155866623,0.6899105608463287,0.6934927552938461,0.6913545578718185,0.9,0.9940280318260193,0.9940190315246582,0.9940222501754761
4,99,2.0,uniform,0.5379310344827586,0.6137614964942282,0.4364364364364364,0.3788527352027403,0.5154138989451551,1.0311075150966644,0.6903100162744522,0.6930638998746872,0.6911257058382034,0.9,0.9920480847358704,0.9920379519462585,0.9920423626899719
5,99,2.0,uniform,0.5211822660098522,0.6066004268410521,0.47347347347347346,0.4038782760316578,0.525971837953525,1.0289846658706665,0.6903970539569855,0.692450761795044,0.6909760981798172,0.9,0.9900761842727661,0.9900655150413513,0.9900708198547363
1,42,1.0,uniform,0.5745745745745745,0.5238319260909909,0.33333333333333337,0.4859775897534462,0.5096332066370802,1.0435568690299988,0.6997493207454681,0.6950884014368057,0.693638876080513,0.9,0.9980028867721558,0.9980036020278931,0.9980021119117737
2,42,1.0,uniform,0.5775775775775776,0.5511243397275368,0.4295634920634921,0.5314624555757106,0.5029176106233308,1.0371315777301788,0.6947705447673798,0.6920435130596161,0.6924802660942078,0.9,0.9960106015205383,0.9960085153579712,0.9960089325904846
3,42,1.0,uniform,0.572072072072072,0.5403706414008078,0.44246031746031744,0.5495443484913582,0.5063801168967667,1.0351641178131104,0.6937153488397598,0.6931439936161041,0.6921243071556091,1.1,0.9940240383148193,0.9940184354782104,0.9940219521522522
4,42,1.0,uniform,0.5155155155155156,0.46386296054686926,0.40773809523809523,0.5369888362059716,0.5153699087336072,1.0331405997276306,0.6938560158014297,0.6928894519805908,0.6917797923088074,0.9,0.9920446276664734,0.9920356273651123,0.9920423030853271
5,42,1.0,uniform,0.45545545545545546,0.41844902491483993,0.4136904761904763,0.5363830296713388,0.5073804550975354,1.0311550796031952,0.6941068470478058,0.692484125494957,0.6915137469768524,0.9,0.9900733828544617,0.9900615215301514,0.9900708794593811
1,123,1.0,uniform,0.5245098039215687,0.5665864028947211,0.45995670995670995,0.32186076027239735,0.49606696017620755,1.0430135130882263,0.6955669671297073,0.6972484439611435,0.6945790350437164,1.0,0.9980024695396423,0.998001217842102,0.998002290725708
2,123,1.0,uniform,0.615686274509804,0.639952175738463,0.525974025974026,0.3614206305033978,0.48891691642049706,1.0375527143478394,0.6938192546367645,0.6930531710386276,0.6932605654001236,1.0,0.9960083961486816,0.996006965637207,0.9960092306137085
3,123,1.0,uniform,0.6617647058823529,0.658588023085706,0.5735930735930735,0.41078766204897055,0.4834737711643982,1.0356486439704895,0.6931444108486176,0.6940318942070007,0.6927653104066849,0.9,0.9940202832221985,0.9940186738967896,0.9940220713615417
4,123,1.0,uniform,0.6617647058823529,0.6718693529680558,0.5811688311688311,0.38324319412267893,0.48550479986257544,1.0334373712539673,0.6930918246507645,0.6936413794755936,0.6923733353614807,0.9,0.9920394420623779,0.9920380115509033,0.9920420050621033
