split_config,dim_A,dim_B,dim_C,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
skewed,3,4,3,42,2,2.77749412621909,0.4009387611858244,1.9182441302431308,0.45831125078162527,75.9,0.4920634920634921,0.030303030303030304,0.02696308666457925,0.6019132707457393
skewed,3,4,3,42,3,2.639461364203352,0.39904785519692954,1.7843540635535386,0.45605944375681684,75.9,0.4920634920634921,0.030303030303030304,0.02696308666457925,0.6260035037994109
skewed,3,4,3,42,4,2.6379167393940253,0.39621897368896297,1.7859701189568373,0.4557276486865873,75.8,0.5555555555555556,0.034482758620689655,0.008447504791651905,0.6774213760774765
skewed,3,4,3,42,5,2.632217275417917,0.3952908392359571,1.7822792413758068,0.45464719117172364,75.8,0.31746031746031744,0.022727272727272728,0.02696308666457925,0.6618852049616546
skewed,3,4,3,42,6,2.697758036900342,0.41292919230654956,1.8276747310064672,0.45715412134077493,75.6,0.5238095238095238,0.03225806451612903,0.02696308666457925,0.5385285453376093
skewed,3,4,3,42,7,2.52446942213105,0.39670185381319467,1.6719166176105902,0.45585096221629196,75.9,0.5873015873015873,0.037037037037037035,0.016646765470253566,0.594538071808041
skewed,3,4,3,42,8,2.4923572850421194,0.397652936417882,1.640920971467243,0.4537833783684707,75.8,0.4920634920634921,0.030303030303030304,0.02696308666457925,0.6400935091194984
skewed,3,4,3,42,9,2.4794016194537405,0.3960450483046896,1.631365512444721,0.4519910451357927,75.8,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6641216664318149
skewed,3,4,3,42,10,2.488599447700066,0.3931243624386749,1.641998780452139,0.4534763068687625,75.6,0.5873015873015873,0.037037037037037035,0.02696308666457925,0.6383762008288819
skewed,3,4,3,123,1,2.9652549968502386,0.40710189235888844,2.076793662900847,0.48135943819836874,75.7,0.4126984126984127,0.02631578947368421,0.0,0.4968977736419836
skewed,3,4,3,123,2,2.7143150849070974,0.39755383303494957,1.8566710483737108,0.46009021343254464,75.7,0.6190476190476191,0.04,0.016646765470253566,0.4364613275534667
skewed,3,4,3,123,3,2.55990679089616,0.39767596270979905,1.7024675665832147,0.4597632686297099,75.7,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.5820099040446202
skewed,3,4,3,123,4,2.5423291175346066,0.4003022058707912,1.6836771344750878,0.4583497868805397,75.8,0.5079365079365079,0.03125,0.016646765470253566,0.590031294463222
skewed,3,4,3,123,5,2.4835545939158616,0.399577650597425,1.6243506127256688,0.45962632913899615,75.6,0.4126984126984127,0.02631578947368421,0.02696308666457925,0.5670987426090236
skewed,3,4,3,123,6,2.485624456793312,0.39787709397998283,1.6286589827963975,0.4590883780785692,75.6,0.6349206349206349,0.041666666666666664,0.02696308666457925,0.6061619556600389
skewed,3,4,3,123,7,2.4657537646409944,0.39535001526033975,1.6133882873426608,0.45701546809537624,75.5,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.5899751209995233
skewed,3,4,3,123,8,2.4474881276851748,0.3966866942440591,1.5946702850543386,0.4561311394218507,75.6,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.5661761261728233
skewed,3,4,3,123,9,2.4434384252966903,0.39143633055008525,1.596868638100663,0.4551334606438148,75.6,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.5547635995685404
skewed,3,4,3,123,10,2.43724719489493,0.3947117214765006,1.5881227661923665,0.45441270480311013,75.6,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6168414583515185
skewed,3,4,3,7,1,2.9861506020150532,0.41554624205682333,2.081580430511537,0.4890239141820892,75.5,0.4920634920634921,0.030303030303030304,0.0,0.5453365087399483
skewed,3,4,3,7,2,2.9052387233672103,0.4030061927510471,2.04244483777178,0.4597876973268462,75.5,0.5873015873015873,0.037037037037037035,0.008447504791651905,0.5645733525567391
skewed,3,4,3,7,3,2.756895055615805,0.3993812631058499,1.8994677735538017,0.45804601301991843,75.2,0.6190476190476191,0.04,0.014517265680056402,0.5976714742054231
skewed,3,4,3,7,4,2.789880638200093,0.39663967877868717,1.935336309719861,0.4579046623009007,75.6,0.6031746031746033,0.038461538461538464,0.02696308666457925,0.5911126596863716
skewed,3,4,3,7,5,2.536070467010746,0.3940198385133976,1.6848345762345849,0.4572160677696631,75.5,0.6190476190476191,0.04,0.02696308666457925,0.5944918610332316
skewed,3,4,3,7,6,2.583760554228372,0.39785191501543776,1.7291667073722776,0.45674193535393814,75.5,0.5714285714285714,0.03571428571428571,0.02696308666457925,0.5681121154856577
skewed,3,4,3,7,7,2.4835084240611005,0.3934569031727023,1.6347638581826436,0.45528766391723136,75.7,0.5396825396825398,0.03333333333333333,0.02696308666457925,0.6094561105396841
skewed,3,4,3,7,8,2.470860975544627,0.39283799337662334,1.6234374065709307,0.4545855754759254,75.7,0.6031746031746033,0.038461538461538464,0.02696308666457925,0.6691053085301636
skewed,3,4,3,7,9,2.544890490973868,0.39432178074266855,1.6947047972097629,0.4558639136271748,75.5,0.5714285714285714,0.03571428571428571,0.02696308666457925,0.6425298786973412
skewed,3,4,3,7,10,2.496609335023213,0.39394582432460007,1.6477727269738671,0.454890784451632,75.7,0.6190476190476191,0.04,0.02696308666457925,0.634786092120829
